date,open,high,low,close,adjClose,volume
2026-08-13,2440.00,2445.00,2425.00,2435.00,2435.00,23011787
2026-08-12,2405.00,2415.00,2390.00,2415.00,2415.00,17709219
2026-08-11,2390.00,2405.00,2375.00,2395.00,2395.00,15907911
2026-08-10,2390.00,2410.00,2380.00,2380.00,2380.00,18892633
2026-08-07,2390.00,2395.00,2355.00,2370.00,2370.00,21959343
2026-08-06,2395.00,2395.00,2360.00,2365.00,2365.00,22943128
2026-08-05,2385.00,2415.00,2370.00,2405.00,2405.00,31905196
2026-08-04,2335.00,2360.00,2310.00,2320.00,2320.00,35945450
2026-08-03,2390.00,2395.00,2365.00,2370.00,2370.00,30005447
2026-07-31,2350.00,2425.00,2345.00,2425.00,2425.00,57145894
2026-07-30,2205.00,2260.00,2190.00,2205.00,2205.00,44446679
2026-07-29,2260.00,2280.00,2180.00,2200.00,2200.00,55449661
2026-07-28,2270.00,2305.00,2270.00,2280.00,2280.00,36576835
2026-07-27,2330.00,2365.00,2330.00,2350.00,2350.00,24040916
2026-07-24,2355.00,2365.00,2345.00,2350.00,2350.00,21646770
2026-07-23,2385.00,2405.00,2370.00,2405.00,2405.00,23190117
2026-07-22,2440.00,2445.00,2385.00,2400.00,2400.00,28887275
2026-07-21,2350.00,2410.00,2345.00,2410.00,2410.00,29931277
2026-07-20,2300.00,2345.00,2300.00,2320.00,2320.00,45272691
2026-07-17,2375.00,2395.00,2290.00,2290.00,2290.00,75253147
2026-07-16,2430.00,2470.00,2420.00,2470.00,2470.00,27848158
2026-07-15,2425.00,2460.00,2415.00,2440.00,2440.00,28532735
2026-07-14,2410.00,2430.00,2390.00,2420.00,2420.00,35607811
2026-07-13,2460.00,2480.00,2440.00,2440.00,2440.00,32938379
2026-07-10,2415.00,2415.00,2415.00,2415.00,2415.00,
2026-07-09,2450.00,2460.00,2415.00,2415.00,2415.00,27134789
2026-07-08,2445.00,2465.00,2420.00,2465.00,2465.00,23373702
2026-07-07,2480.00,2500.00,2440.00,2440.00,2440.00,27867172
2026-07-06,2465.00,2500.00,2455.00,2460.00,2460.00,19281603
2026-07-03,2415.00,2465.00,2415.00,2445.00,2445.00,26489446
2026-07-02,2450.00,2480.00,2445.00,2465.00,2465.00,27485121
2026-07-01,2495.00,2505.00,2475.00,2505.00,2505.00,30489002
2026-06-30,2440.00,2475.00,2410.00,2410.00,2410.00,42933128
2026-06-29,2330.00,2395.00,2330.00,2370.00,2370.00,33267315
2026-06-26,2360.00,2370.00,2325.00,2340.00,2340.00,39547254
2026-06-25,2410.00,2420.00,2390.00,2390.00,2390.00,34424468
2026-06-24,2435.00,2445.00,2390.00,2390.00,2390.00,55667954
2026-06-23,2510.00,2535.00,2490.00,2490.00,2490.00,34264856
2026-06-22,2455.00,2510.00,2455.00,2510.00,2510.00,39272494
2026-06-18,2395.00,2415.00,2385.00,2410.00,2410.00,46429815
2026-06-17,2355.00,2385.00,2350.00,2385.00,2385.00,25510076
2026-06-16,2375.00,2400.00,2350.00,2400.00,2400.00,29594351
2026-06-15,2360.00,2375.00,2345.00,2375.00,2375.00,25573718
2026-06-12,2325.00,2325.00,2290.00,2310.00,2310.00,21560608
2026-06-11,2240.00,2260.00,2210.00,2250.00,2250.00,34790220
2026-06-10,2285.00,2300.00,2255.00,2255.00,2249.00,42608467
2026-06-09,2305.00,2320.00,2295.00,2305.00,2298.87,33252041
2026-06-08,2230.00,2320.00,2230.00,2295.00,2288.89,44721632
2026-06-05,2395.00,2405.00,2350.00,2365.00,2358.71,32795780
2026-06-04,2385.00,2415.00,2385.00,2385.00,2378.65,25054494
2026-06-03,2425.00,2440.00,2410.00,2425.00,2418.55,22536554
2026-06-02,2390.00,2400.00,2360.00,2380.00,2373.67,29610654
2026-06-01,2355.00,2415.00,2350.00,2355.00,2348.73,35023445
2026-05-29,2340.00,2375.00,2330.00,2355.00,2348.73,86132863
2026-05-28,2350.00,2360.00,2270.00,2295.00,2288.89,36889432
2026-05-27,2310.00,2330.00,2290.00,2300.00,2293.88,31986652
2026-05-26,2320.00,2325.00,2270.00,2270.00,2263.96,22586387
2026-05-25,2275.00,2310.00,2275.00,2310.00,2303.85,25215869
2026-05-22,2245.00,2260.00,2225.00,2255.00,2249.00,24437825
2026-05-21,2240.00,2255.00,2230.00,2230.00,2224.07,22964974
2026-05-20,2205.00,2210.00,2185.00,2185.00,2179.19,29320253
2026-05-19,2220.00,2230.00,2205.00,2205.00,2199.13,34824449
2026-05-18,2225.00,2260.00,2215.00,2240.00,2234.04,25875079
2026-05-15,2310.00,2325.00,2250.00,2265.00,2258.97,29922154
2026-05-14,2250.00,2270.00,2230.00,2270.00,2263.96,31747100
2026-05-13,2205.00,2240.00,2205.00,2220.00,2214.09,35350292
2026-05-12,2235.00,2280.00,2210.00,2255.00,2249.00,44459541
2026-05-11,2265.00,2275.00,2235.00,2235.00,2229.05,37244077
2026-05-08,2300.00,2310.00,2265.00,2290.00,2283.91,27102571
2026-05-07,2335.00,2345.00,2310.00,2310.00,2303.85,35034517
2026-05-06,2250.00,2285.00,2240.00,2250.00,2244.01,31918664
2026-05-05,2250.00,2270.00,2240.00,2250.00,2244.01,21625279
2026-05-04,2200.00,2285.00,2195.00,2275.00,2268.95,38390062
2026-04-30,2205.00,2215.00,2135.00,2135.00,2129.32,48975164
2026-04-29,2175.00,2210.00,2165.00,2180.00,2174.20,42895935
2026-04-28,2245.00,2280.00,2215.00,2215.00,2209.11,47175356
2026-04-27,2280.00,2330.00,2265.00,2265.00,2258.97,68696037
2026-04-24,2110.00,2190.00,2105.00,2185.00,2179.19,45088050
2026-04-23,2090.00,2135.00,2055.00,2080.00,2074.47,48682193
2026-04-22,2045.00,2070.00,2040.00,2050.00,2044.55,24762881
2026-04-21,2050.00,2075.00,2045.00,2050.00,2044.55,25783476
2026-04-20,2030.00,2055.00,2025.00,2025.00,2019.61,25407621
2026-04-17,2055.00,2060.00,2030.00,2030.00,2024.60,39260244
2026-04-16,2080.00,2090.00,2055.00,2085.00,2079.45,32038524
2026-04-15,2065.00,2100.00,2060.00,2080.00,2074.47,40343568
2026-04-14,2015.00,2055.00,2010.00,2055.00,2049.53,39113405
2026-04-13,1985.00,1995.00,1975.00,1990.00,1984.71,28968757
2026-04-10,1975.00,2000.00,1970.00,2000.00,1994.68,28637625
2026-04-09,1945.00,1955.00,1930.00,1955.00,1949.80,31835073
