date,open,high,low,close,adjClose,volume
2026-06-08,98.05,101.30,98.05,100.95,100.34,320685641
2026-06-05,105.00,105.35,102.80,104.15,103.52,164564140
2026-06-04,106.75,107.00,106.05,106.10,105.46,108491104
2026-06-03,107.30,107.85,107.10,107.60,106.95,75111550
2026-06-02,106.30,106.30,104.20,105.70,105.06,107794552
2026-06-01,105.25,106.70,104.50,105.50,104.86,127067000
2026-05-29,103.20,105.40,102.70,105.40,104.76,98892043
2026-05-28,104.00,104.25,100.10,100.50,99.89,140421329
2026-05-27,102.40,103.90,102.00,102.55,101.93,90102044
2026-05-26,101.60,101.80,100.10,100.10,99.49,87695026
2026-05-25,99.55,101.00,99.55,100.80,100.19,124114624
2026-05-22,96.30,97.30,96.00,97.30,96.71,60917271
2026-05-21,94.80,96.05,94.70,95.85,95.27,59494294
2026-05-20,93.00,93.50,92.45,92.50,91.94,108931614
2026-05-19,94.35,94.70,93.10,93.10,92.54,116385289
2026-05-18,94.00,95.20,93.30,94.90,94.33,105172915
2026-05-15,97.65,98.25,95.20,95.40,94.82,90487261
2026-05-14,96.90,97.20,95.75,96.05,95.47,53565899
2026-05-13,94.85,95.80,94.70,95.50,94.92,113598688
2026-05-12,96.85,97.35,95.50,96.85,96.26,94676481
2026-05-11,96.65,97.15,96.50,96.90,96.31,88544547
2026-05-08,97.35,97.70,95.85,97.00,96.41,117639791
2026-05-07,97.95,98.40,97.40,97.70,97.11,110289613
2026-05-06,96.05,96.90,94.70,95.75,95.17,105507530
2026-05-05,94.40,94.75,94.00,94.60,94.03,76579608
2026-05-04,92.50,94.65,92.40,94.60,94.03,120393477
2026-04-30,91.25,91.90,90.30,90.50,89.95,82229228
2026-04-29,90.70,91.50,90.00,90.75,90.20,93857452
2026-04-28,92.55,93.65,91.90,92.00,91.44,114706934
2026-04-27,92.70,94.25,92.70,93.00,92.44,183173507
2026-04-24,87.60,89.95,87.55,89.95,89.41,125117290
2026-04-23,87.65,88.80,85.15,86.35,85.83,148310644
2026-04-22,85.75,86.60,85.55,86.35,85.83,64147874
2026-04-21,85.50,86.10,85.00,86.00,85.48,71987659
2026-04-20,84.55,85.10,84.45,84.55,84.04,95994589
2026-04-17,84.20,84.50,84.00,84.15,83.64,93304532
2026-04-16,84.75,85.10,84.15,85.00,84.49,76987129
2026-04-15,84.10,85.10,83.80,84.15,83.64,122414906
2026-04-14,81.75,83.20,81.75,83.10,82.60,123920345
2026-04-13,80.60,81.00,80.40,80.60,80.11,87581345
2026-04-10,80.00,80.80,79.95,80.75,80.26,115520077
2026-04-09,79.30,79.40,78.80,79.15,78.67,92049631
